id,name,rank,status,parent_tsn
172401,Katsuwonus pelamis,Species,valid,172475
645264,Prognichthys tringa,Species,valid,165523
167999,Pseudogramma,Genus,valid,643093
165523,Prognichthys,Genus,valid,165431
162752,Lobianchia,Genus,valid,623695
166596,Cosmocampus,Genus,valid,644844
643094,Epinephelini,Tribe,valid,551018
162558,Scopelarchus michaelsarsi,Species,valid,162553
556138,Histioteuthis hoylei,Species,valid,82485
95497,Bentheuphausiidae,Family,valid,95496
644689,Gigantura indica,Species,valid,162821
636225,Cirripectes,Genus,valid,171124
165459,Hemiramphus,Genus,valid,645104
166753,Sebastes hopkinsi,Species,valid,166705
164655,Ceratias holboelli,Species,valid,164654
623732,Electrona risso,Species,valid,162736
162241,Borostomias panamensis,Species,valid,162239
167276,Hemilepidotus,Genus,valid,167196
553173,Engraulidae,Family,valid,161699
172384,Trichiurus,Genus,valid,646731
164807,Ophidiidae,Family,valid,164806
82474,Brachioteuthis,Genus,valid,82473
48739,Hydrozoa,Class,valid,718920
167387,Orthonopias,Genus,valid,167196
162195,Vinciguerria poweriae,Species,valid,162192
164598,Zalieutes elater,Species,valid,164596
622778,Borophryne,Genus,valid,164661
162576,Ceratoscopelus,Genus,valid,623695
164660,Caulophryne,Genus,valid,164658
164464,Gobiesox rhessodon,Species,valid,164458
164518,Antennariidae,Family,valid,164514
173128,Balistidae,Family,valid,173113
622320,Malacosteinae,Subfamily,valid,162282
623742,Nannobrachium achirus,Species,valid,623699
162214,Argyropelecus lychnus,Species,valid,162213
622694,Margrethia obtusirostra,Species,valid,162229
167411,Psychrolutes,Genus,valid,167410
162711,Gonichthys,Genus,valid,623694
165520,Oxyporhamphus micropterus,Species,valid,165519
82575,Cranchiidae,Family,valid,82390
638250,Sardini,Tribe,valid,638248
171160,Hypsoblennius jenkinsi,Species,valid,171155
165334,Coryphaenoides acrolepis,Species,valid,165333
162202,Valenciennellus,Genus,valid,622314
644731,Stemonosudis macrura,Species,valid,162501
168567,Echeneidae,Family,valid,167641
170120,Hypsypops rubicundus,Species,valid,170119
171827,Gnatholepis,Genus,valid,171746
165506,Exocoetus,Genus,valid,165431
162186,Maurolicus,Genus,valid,622314
172364,Ruvettus pretiosus,Species,valid,172363
167364,Synchirus,Genus,valid,167196
161343,Ariosoma,Genus,valid,635309
165493,Hyporhamphus pacificus,Species,invalid,0
643093,Grammistini,Tribe,valid,551018
167379,Chitonotus,Genus,valid,167196
649666,Melamphaes parvus,Species,valid,166093
643065,Lutjaninae,Subfamily,valid,168845
162845,Ostariophysi,Superorder,valid,161105
644845,Hippocampinae,Subfamily,valid,166443
168695,Seriola lalandi,Species,valid,168688
630579,Atherinopsidae,Family,valid,165429
638573,Malacoctenus hubbsi,Species,valid,171419
165611,Scomberesox,Genus,valid,165607
556020,Euprymna scolopes,Species,valid,555767
164810,Spectrunculus,Genus,valid,622725
95571,Thysanoessa,Genus,valid,95500
171610,Cryptacanthodes aleutensis,Species,valid,171606
171898,Lythrypnus,Genus,valid,171746
613701,Halichoeres dispilus,Species,valid,170501
82418,Gonatus,Genus,valid,82414
167335,Oligocottus snyderi,Species,valid,167332
636462,Ophioblennius steindachneri,Species,valid,171202
95570,Tessarabrachion oculatum,Species,invalid,0
